topic,paper_ID,sentence_ID,sentence,words,BIO,POS,length
text-classification,9,42,"Based on these observations , we present a neural attentionbased multiple context fixing attachment ( MCFA ) .","['Based', 'on', 'these', 'observations', ',', 'we', 'present', 'a', 'neural', 'attentionbased', 'multiple', 'context', 'fixing', 'attachment', '(', 'MCFA', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'O', 'O']","['VBN', 'IN', 'DT', 'NNS', ',', 'PRP', 'VBP', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'VBG', 'NN', '(', 'NNP', ')', '.']",18
text-classification,9,43,"MCFA is a series of modules that uses all the sentence vectors ( e.g. Arabic , English , Korean , etc. ) as context to fix a sentence vector ( e.g. Korean ) .","['MCFA', 'is', 'a', 'series', 'of', 'modules', 'that', 'uses', 'all', 'the', 'sentence', 'vectors', '(', 'e.g.', 'Arabic', ',', 'English', ',', 'Korean', ',', 'etc.', ')', 'as', 'context', 'to', 'fix', 'a', 'sentence', 'vector', '(', 'e.g.', 'Korean', ')', '.']","['O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'B-p', 'B-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['NNP', 'VBZ', 'DT', 'NN', 'IN', 'NNS', 'WDT', 'VBZ', 'PDT', 'DT', 'NN', 'NNS', '(', 'JJ', 'NNP', ',', 'NNP', ',', 'NNP', ',', 'NN', ')', 'IN', 'NN', 'TO', 'VB', 'DT', 'NN', 'NN', '(', 'JJ', 'NNP', ')', '.']",34
text-classification,9,44,"Fixing the vectors is done by selectively moving the vectors to a location in the same vector space that better separates the class , as shown in .","['Fixing', 'the', 'vectors', 'is', 'done', 'by', 'selectively', 'moving', 'the', 'vectors', 'to', 'a', 'location', 'in', 'the', 'same', 'vector', 'space', 'that', 'better', 'separates', 'the', 'class', ',', 'as', 'shown', 'in', '.']","['B-p', 'I-p', 'I-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O']","['VBG', 'DT', 'NNS', 'VBZ', 'VBN', 'IN', 'RB', 'VBG', 'DT', 'NNS', 'TO', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', 'IN', 'JJR', 'VBZ', 'DT', 'NN', ',', 'IN', 'VBN', 'IN', '.']",28
text-classification,9,46,MCFA computes two sentence usability metrics to control the noise when fixing vectors : ( a ) self usability ? i ( a ) weighs the confidence of using sentence a in solving the task .,"['MCFA', 'computes', 'two', 'sentence', 'usability', 'metrics', 'to', 'control', 'the', 'noise', 'when', 'fixing', 'vectors', ':', '(', 'a', ')', 'self', 'usability', '?', 'i', '(', 'a', ')', 'weighs', 'the', 'confidence', 'of', 'using', 'sentence', 'a', 'in', 'solving', 'the', 'task', '.']","['B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NNP', 'VBZ', 'CD', 'NN', 'NN', 'NNS', 'TO', 'VB', 'DT', 'NN', 'WRB', 'VBG', 'NNS', ':', '(', 'DT', ')', 'NN', 'NN', '.', 'NN', '(', 'DT', ')', 'VBZ', 'DT', 'NN', 'IN', 'VBG', 'NN', 'DT', 'IN', 'VBG', 'DT', 'NN', '.']",36
text-classification,9,47,"( b ) relative usability ? r ( a , b ) weighs the confidence of using sentence a in fixing sentence b.","['(', 'b', ')', 'relative', 'usability', '?', 'r', '(', 'a', ',', 'b', ')', 'weighs', 'the', 'confidence', 'of', 'using', 'sentence', 'a', 'in', 'fixing', 'sentence', 'b.']","['O', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['(', 'NN', ')', 'NN', 'NN', '.', 'NN', '(', 'DT', ',', 'NN', ')', 'VBZ', 'DT', 'NN', 'IN', 'VBG', 'NN', 'DT', 'IN', 'VBG', 'NN', 'NN']",23
text-classification,9,153,"For our CNN , we use rectified linear units and three filters with different window sizes h = 3 , 4 , 5 with 100 feature maps each , following .","['For', 'our', 'CNN', ',', 'we', 'use', 'rectified', 'linear', 'units', 'and', 'three', 'filters', 'with', 'different', 'window', 'sizes', 'h', '=', '3', ',', '4', ',', '5', 'with', '100', 'feature', 'maps', 'each', ',', 'following', '.']","['O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O']","['IN', 'PRP$', 'NNP', ',', 'PRP', 'VBP', 'JJ', 'JJ', 'NNS', 'CC', 'CD', 'NNS', 'IN', 'JJ', 'NN', 'NNS', 'VBP', 'JJ', 'CD', ',', 'CD', ',', 'CD', 'IN', 'CD', 'NN', 'NNS', 'DT', ',', 'VBG', '.']",31
text-classification,9,154,"For the final sentence vector , we concatenate the feature maps to get a 300 - dimension vector .","['For', 'the', 'final', 'sentence', 'vector', ',', 'we', 'concatenate', 'the', 'feature', 'maps', 'to', 'get', 'a', '300', '-', 'dimension', 'vector', '.']","['B-p', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', 'DT', 'JJ', 'NN', 'NN', ',', 'PRP', 'VBP', 'DT', 'NN', 'VBZ', 'TO', 'VB', 'DT', 'CD', ':', 'NN', 'NN', '.']",19
text-classification,9,155,We use dropout on all nonlinear connections with a dropout rate of 0.5 .,"['We', 'use', 'dropout', 'on', 'all', 'nonlinear', 'connections', 'with', 'a', 'dropout', 'rate', 'of', '0.5', '.']","['O', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'I-p', 'O', 'B-n', 'O']","['PRP', 'VBP', 'IN', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'NN', 'IN', 'CD', '.']",14
text-classification,9,158,"During training , we use mini-batch size of 50 .","['During', 'training', ',', 'we', 'use', 'mini-batch', 'size', 'of', '50', '.']","['B-p', 'B-n', 'O', 'O', 'B-p', 'B-n', 'I-n', 'B-p', 'B-n', 'O']","['IN', 'NN', ',', 'PRP', 'VBP', 'JJ', 'NN', 'IN', 'CD', '.']",10
text-classification,9,159,Training is done via stochastic gradient descent over shuffled mini-batches with the Adadelta update rule .,"['Training', 'is', 'done', 'via', 'stochastic', 'gradient', 'descent', 'over', 'shuffled', 'mini-batches', 'with', 'the', 'Adadelta', 'update', 'rule', '.']","['B-n', 'B-p', 'I-p', 'I-p', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['NN', 'VBZ', 'VBN', 'IN', 'JJ', 'NN', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'DT', 'NNP', 'NN', 'NN', '.']",16
text-classification,9,160,We perform early stopping using a random 10 % of the training set as the development set .,"['We', 'perform', 'early', 'stopping', 'using', 'a', 'random', '10', '%', 'of', 'the', 'training', 'set', 'as', 'the', 'development', 'set', '.']","['O', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O']","['PRP', 'VBP', 'JJ', 'NN', 'VBG', 'DT', 'JJ', 'CD', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'DT', 'NN', 'NN', '.']",18
text-classification,9,169,We show that CNN + MCFA achieves state of the art performance on three of the four data sets and performs competitively on one data set .,"['We', 'show', 'that', 'CNN', '+', 'MCFA', 'achieves', 'state', 'of', 'the', 'art', 'performance', 'on', 'three', 'of', 'the', 'four', 'data', 'sets', 'and', 'performs', 'competitively', 'on', 'one', 'data', 'set', '.']","['O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'I-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['PRP', 'VBP', 'IN', 'NNP', 'NNP', 'NNP', 'VBZ', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', 'CD', 'IN', 'DT', 'CD', 'NNS', 'NNS', 'CC', 'NNS', 'RB', 'IN', 'CD', 'NN', 'NN', '.']",27
text-classification,9,170,"When N = 1 , MCFA increases the performance of a normal CNN from 85.0 to 87.6 , beating the current state of the art on the CR data set .","['When', 'N', '=', '1', ',', 'MCFA', 'increases', 'the', 'performance', 'of', 'a', 'normal', 'CNN', 'from', '85.0', 'to', '87.6', ',', 'beating', 'the', 'current', 'state', 'of', 'the', 'art', 'on', 'the', 'CR', 'data', 'set', '.']","['B-p', 'B-n', 'I-n', 'I-n', 'O', 'B-n', 'B-p', 'I-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'B-p', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['WRB', 'NNP', 'VBZ', 'CD', ',', 'NNP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'IN', 'CD', 'TO', 'CD', ',', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NN', 'NN', '.']",31
text-classification,9,171,"When N = 10 , MCFA additionally beats the state of the art on the TREC data set .","['When', 'N', '=', '10', ',', 'MCFA', 'additionally', 'beats', 'the', 'state', 'of', 'the', 'art', 'on', 'the', 'TREC', 'data', 'set', '.']","['O', 'B-n', 'I-n', 'I-n', 'O', 'B-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['WRB', 'NNP', 'VBZ', 'CD', ',', 'NNP', 'RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NN', 'NN', '.']",19
text-classification,9,172,"Finally , our ensemble classifier additionally outperforms all competing models on the MR data set .","['Finally', ',', 'our', 'ensemble', 'classifier', 'additionally', 'outperforms', 'all', 'competing', 'models', 'on', 'the', 'MR', 'data', 'set', '.']","['O', 'O', 'O', 'B-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['RB', ',', 'PRP$', 'JJ', 'NN', 'RB', 'VBZ', 'DT', 'VBG', 'NNS', 'IN', 'DT', 'NNP', 'NN', 'NN', '.']",16
text-classification,1,2,Supervised and Semi- Supervised Text Categorization using LSTM for Region Embeddings,"['Supervised', 'and', 'Semi-', 'Supervised', 'Text', 'Categorization', 'using', 'LSTM', 'for', 'Region', 'Embeddings']","['B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O']","['VBN', 'CC', 'NNP', 'VBD', 'NNP', 'NNP', 'VBG', 'NNP', 'IN', 'NNP', 'NNS']",11
text-classification,1,4,"One - hot CNN ( convolutional neural network ) has been shown to be effective for text categorization ( Johnson & Zhang , 2015a ; b ) .","['One', '-', 'hot', 'CNN', '(', 'convolutional', 'neural', 'network', ')', 'has', 'been', 'shown', 'to', 'be', 'effective', 'for', 'text', 'categorization', '(', 'Johnson', '&', 'Zhang', ',', '2015a', ';', 'b', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['CD', ':', 'JJ', 'NNP', '(', 'JJ', 'JJ', 'NN', ')', 'VBZ', 'VBN', 'VBN', 'TO', 'VB', 'JJ', 'IN', 'JJ', 'NN', '(', 'NNP', 'CC', 'NNP', ',', 'CD', ':', 'NN', ')', '.']",28
text-classification,1,21,"In this work , we consider a more general framework ( subsuming one - hot CNN ) which jointly trains a feature generator and a linear model , where the feature generator consists of ' region embedding + pooling ' .","['In', 'this', 'work', ',', 'we', 'consider', 'a', 'more', 'general', 'framework', '(', 'subsuming', 'one', '-', 'hot', 'CNN', ')', 'which', 'jointly', 'trains', 'a', 'feature', 'generator', 'and', 'a', 'linear', 'model', ',', 'where', 'the', 'feature', 'generator', 'consists', 'of', ""'"", 'region', 'embedding', '+', 'pooling', ""'"", '.']","['O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O']","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'DT', 'RBR', 'JJ', 'NN', '(', 'VBG', 'CD', ':', 'JJ', 'NNP', ')', 'WDT', 'RB', 'VBZ', 'DT', 'NN', 'NN', 'CC', 'DT', 'JJ', 'NN', ',', 'WRB', 'DT', 'NN', 'NN', 'VBZ', 'IN', 'POS', 'NN', 'VBG', 'JJ', 'VBG', 'POS', '.']",41
text-classification,1,31,"In this work , we build on the general framework of ' region embedding + pooling ' and explore a more sophisticated region embedding via Long Short - Term Memory ( LSTM ) , seeking to overcome the shortcomings above , in the supervised and semi-supervised settings .","['In', 'this', 'work', ',', 'we', 'build', 'on', 'the', 'general', 'framework', 'of', ""'"", 'region', 'embedding', '+', 'pooling', ""'"", 'and', 'explore', 'a', 'more', 'sophisticated', 'region', 'embedding', 'via', 'Long', 'Short', '-', 'Term', 'Memory', '(', 'LSTM', ')', ',', 'seeking', 'to', 'overcome', 'the', 'shortcomings', 'above', ',', 'in', 'the', 'supervised', 'and', 'semi-supervised', 'settings', '.']","['O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'POS', 'NN', 'VBG', 'JJ', 'VBG', 'POS', 'CC', 'VB', 'DT', 'RBR', 'JJ', 'NN', 'VBG', 'IN', 'NNP', 'NNP', ':', 'NNP', 'NNP', '(', 'NNP', ')', ',', 'VBG', 'TO', 'VB', 'DT', 'NNS', 'IN', ',', 'IN', 'DT', 'JJ', 'CC', 'JJ', 'NNS', '.']",48
text-classification,1,37,"We pursue the best use of LSTM for our purpose , and then compare the resulting model with the previous best methods including one - hot CNN and previous LSTM .","['We', 'pursue', 'the', 'best', 'use', 'of', 'LSTM', 'for', 'our', 'purpose', ',', 'and', 'then', 'compare', 'the', 'resulting', 'model', 'with', 'the', 'previous', 'best', 'methods', 'including', 'one', '-', 'hot', 'CNN', 'and', 'previous', 'LSTM', '.']","['O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['PRP', 'VBP', 'DT', 'JJS', 'NN', 'IN', 'NNP', 'IN', 'PRP$', 'NN', ',', 'CC', 'RB', 'VB', 'DT', 'VBG', 'NN', 'IN', 'DT', 'JJ', 'JJS', 'NNS', 'VBG', 'CD', ':', 'JJ', 'NNP', 'CC', 'JJ', 'NNP', '.']",31
text-classification,1,38,"Our strategy is to simplify the model as much as possible , including elimination of a word embedding layer routinely used to produce input to LSTM .","['Our', 'strategy', 'is', 'to', 'simplify', 'the', 'model', 'as', 'much', 'as', 'possible', ',', 'including', 'elimination', 'of', 'a', 'word', 'embedding', 'layer', 'routinely', 'used', 'to', 'produce', 'input', 'to', 'LSTM', '.']","['O', 'B-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['PRP$', 'NN', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'RB', 'RB', 'IN', 'JJ', ',', 'VBG', 'NN', 'IN', 'DT', 'NN', 'VBG', 'NN', 'RB', 'VBN', 'TO', 'VB', 'NN', 'TO', 'NNP', '.']",27
text-classification,1,124,Experiments ( supervised ),"['Experiments', '(', 'supervised', ')']","['B-n', 'I-n', 'I-n', 'I-n']","['NNS', '(', 'VBN', ')']",4
text-classification,1,139,"Comparing the two types of LSTM in , we see that our one - hot bidirectional LSTM with pooling ( oh - 2 LSTMp ) outperforms word - vector LSTM ( wv - LSTM ) on all the datasets , confirming the effectiveness of our approach .","['Comparing', 'the', 'two', 'types', 'of', 'LSTM', 'in', ',', 'we', 'see', 'that', 'our', 'one', '-', 'hot', 'bidirectional', 'LSTM', 'with', 'pooling', '(', 'oh', '-', '2', 'LSTMp', ')', 'outperforms', 'word', '-', 'vector', 'LSTM', '(', 'wv', '-', 'LSTM', ')', 'on', 'all', 'the', 'datasets', ',', 'confirming', 'the', 'effectiveness', 'of', 'our', 'approach', '.']","['B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['VBG', 'DT', 'CD', 'NNS', 'IN', 'NNP', 'IN', ',', 'PRP', 'VBP', 'IN', 'PRP$', 'CD', ':', 'JJ', 'JJ', 'NNP', 'IN', 'NN', '(', 'UH', ':', 'CD', 'NNP', ')', 'VBZ', 'NN', ':', 'NN', 'NNP', '(', 'SYM', ':', 'NNP', ')', 'IN', 'PDT', 'DT', 'NNS', ',', 'VBG', 'DT', 'NN', 'IN', 'PRP$', 'NN', '.']",47
text-classification,1,143,"In , on three out of the four datasets , oh - 2 LSTMp outperforms SVM and the CNN .","['In', ',', 'on', 'three', 'out', 'of', 'the', 'four', 'datasets', ',', 'oh', '-', '2', 'LSTMp', 'outperforms', 'SVM', 'and', 'the', 'CNN', '.']","['O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', ',', 'IN', 'CD', 'IN', 'IN', 'DT', 'CD', 'NNS', ',', 'SYM', ':', 'CD', 'NNP', 'NNS', 'NNP', 'CC', 'DT', 'NNP', '.']",20
text-classification,1,195,Semi-supervised experiments,"['Semi-supervised', 'experiments']","['B-n', 'I-n']","['JJ', 'NNS']",2
text-classification,1,212,"Therefore , we tested wv - 2 LSTMp ( word - vector bidirectional LSTM with pooling ) , whose only difference from oh - 2 LSTMp is that the input to the LSTM layers is the pre-trained word vectors .","['Therefore', ',', 'we', 'tested', 'wv', '-', '2', 'LSTMp', '(', 'word', '-', 'vector', 'bidirectional', 'LSTM', 'with', 'pooling', ')', ',', 'whose', 'only', 'difference', 'from', 'oh', '-', '2', 'LSTMp', 'is', 'that', 'the', 'input', 'to', 'the', 'LSTM', 'layers', 'is', 'the', 'pre-trained', 'word', 'vectors', '.']","['O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['RB', ',', 'PRP', 'VBD', 'SYM', ':', 'CD', 'NNP', '(', 'NN', ':', 'NN', 'JJ', 'NNP', 'IN', 'VBG', ')', ',', 'WP$', 'JJ', 'NN', 'IN', 'JJ', ':', 'CD', 'NNP', 'VBZ', 'IN', 'DT', 'NN', 'TO', 'DT', 'NNP', 'NNS', 'VBZ', 'DT', 'JJ', 'NN', 'NNS', '.']",40
text-classification,1,220,"Now we review the performance of one - hot CNN with one 200 - dim CNN tv-embedding row # 5 ) , which is comparable with our LSTM with two 100 - dim LSTM tv-embeddings ( row # 4 ) in terms of the dimensionality of tv-embeddings .","['Now', 'we', 'review', 'the', 'performance', 'of', 'one', '-', 'hot', 'CNN', 'with', 'one', '200', '-', 'dim', 'CNN', 'tv-embedding', 'row', '#', '5', ')', ',', 'which', 'is', 'comparable', 'with', 'our', 'LSTM', 'with', 'two', '100', '-', 'dim', 'LSTM', 'tv-embeddings', '(', 'row', '#', '4', ')', 'in', 'terms', 'of', 'the', 'dimensionality', 'of', 'tv-embeddings', '.']","['O', 'O', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['RB', 'PRP', 'VBP', 'DT', 'NN', 'IN', 'CD', ':', 'JJ', 'NNP', 'IN', 'CD', 'CD', ':', 'NN', 'NNP', 'NN', 'NN', '#', 'CD', ')', ',', 'WDT', 'VBZ', 'JJ', 'IN', 'PRP$', 'NNP', 'IN', 'CD', 'CD', ':', 'NN', 'NNP', 'NNS', '(', 'VB', '#', 'CD', ')', 'IN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNS', '.']",48
text-classification,5,2,Universal Language Model Fine - tuning for Text Classification,"['Universal', 'Language', 'Model', 'Fine', '-', 'tuning', 'for', 'Text', 'Classification']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n']","['NNP', 'NNP', 'NNP', 'NNP', ':', 'NN', 'IN', 'NNP', 'NNP']",9
text-classification,5,31,"1 ) We propose Universal Language Model Fine - tuning ( ULMFiT ) , a method that can be used to achieve CV - like transfer learning for any task for NLP .","['1', ')', 'We', 'propose', 'Universal', 'Language', 'Model', 'Fine', '-', 'tuning', '(', 'ULMFiT', ')', ',', 'a', 'method', 'that', 'can', 'be', 'used', 'to', 'achieve', 'CV', '-', 'like', 'transfer', 'learning', 'for', 'any', 'task', 'for', 'NLP', '.']","['O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['CD', ')', 'PRP', 'VBP', 'JJ', 'NNP', 'NNP', 'NNP', ':', 'NN', '(', 'NNP', ')', ',', 'DT', 'NN', 'WDT', 'MD', 'VB', 'VBN', 'TO', 'VB', 'NNP', ':', 'IN', 'NN', 'VBG', 'IN', 'DT', 'NN', 'IN', 'NNP', '.']",33
text-classification,5,32,"2 ) We propose discriminative fine - tuning , slanted triangular learning rates , and gradual unfreezing , novel techniques to retain previous knowledge and avoid catastrophic forgetting during fine - tuning .","['2', ')', 'We', 'propose', 'discriminative', 'fine', '-', 'tuning', ',', 'slanted', 'triangular', 'learning', 'rates', ',', 'and', 'gradual', 'unfreezing', ',', 'novel', 'techniques', 'to', 'retain', 'previous', 'knowledge', 'and', 'avoid', 'catastrophic', 'forgetting', 'during', 'fine', '-', 'tuning', '.']","['O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'O']","['CD', ')', 'PRP', 'VBP', 'JJ', 'JJ', ':', 'NN', ',', 'VBD', 'JJ', 'NN', 'NNS', ',', 'CC', 'JJ', 'NN', ',', 'NN', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'CC', 'VB', 'JJ', 'VBG', 'IN', 'JJ', ':', 'NN', '.']",33
text-classification,5,162,"We use the AWD - LSTM language model with an embedding size of 400 , 3 layers , 1150 hidden activations per layer , and a BPTT batch size of 70 .","['We', 'use', 'the', 'AWD', '-', 'LSTM', 'language', 'model', 'with', 'an', 'embedding', 'size', 'of', '400', ',', '3', 'layers', ',', '1150', 'hidden', 'activations', 'per', 'layer', ',', 'and', 'a', 'BPTT', 'batch', 'size', 'of', '70', '.']","['O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'O', 'B-n', 'I-n', 'O', 'B-n', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']","['PRP', 'VBP', 'DT', 'NNP', ':', 'NNP', 'NN', 'NN', 'IN', 'DT', 'VBG', 'NN', 'IN', 'CD', ',', 'CD', 'NNS', ',', 'CD', 'JJ', 'NNS', 'IN', 'NN', ',', 'CC', 'DT', 'NNP', 'NN', 'NN', 'IN', 'CD', '.']",32
